level,name,note_f1,onset_mae_ms,predicted_count,gt_count
L2,melody_plus_bass_synthetic_sep,0.6666666666666666,0.0,3,3
L2,melody_plus_bass_crepe_rmvpe,0.6666666666666666,0.0,3,3
